==========================================================================================================================
1a  EXACT-DISCRETE COEFFICIENT COMPARATOR -- E5 WEIBULL DESIGN
    A = Efron + Breslow | B = Efron + cloglog profile | C = exact + cloglog profile | D = grouped joint MLE
    D_x = NLL(arm x) - NLL(arm D).  A-B is the baseline, B-C is Efron vs exact, C-D is what remains.
    shrink = slope of mean(beta_hat) on the true beta; 1.000 unbiased, < 1 attenuated.  20 reps per cell.
    true beta = [ 0.7 -0.5  0.3  0.4 -0.6]   exact budget = 8,000,000
==========================================================================================================================
    cloglog family: D_A, D_B, D_C vs the cloglog joint MLE.  logit family: D_Bl, D_Cl vs the LOGIT joint MLE --
    the exact method judged in its own metric, so that B vs C is tie handling and not link choice.
==========================================================================================================================
     shape  cens      n   T  modal  dmax       D_A       D_B       D_C      D_Bl      D_Cl  shrEfron  shrExact   shrGrp  |b|Efr  |b|Exa  |b|Grp  exactC
       1.0   20%  10000  40  0.111   709  +0.00199  +0.00001  +0.00090  +0.00081  -0.00000     0.996     1.062    1.001    0.8%    5.9%    0.6%  20/20
       1.0   40%    500   2  0.802   218  +0.11841  +0.00037  +0.06447  +0.02644  -0.00012     0.638     1.356    0.853   36.8%   34.2%   15.8%  20/20
       1.0   40%    500   4  0.623   175  +0.06895  -0.00055  +0.03753  +0.01577  -0.00018     0.771     1.287    0.934   23.2%   28.4%    6.8%  20/20
       1.0   40%    500   8  0.419   122  +0.02121  +0.00073  +0.01317  +0.01002  -0.00010     0.935     1.276    1.029    6.6%   27.5%    3.7%  20/20
       1.0   40%    500  20  0.215    61  +0.02181  +0.00102  +0.00695  +0.00077  +0.00168     0.997     1.132    1.023    1.6%   13.4%    2.5%  20/20
       1.0   40%    500  40  0.121    36  +0.00513  -0.00046  +0.00375  -0.00508  -0.00040     1.013     1.082    1.025    1.1%    8.0%    2.3%  20/20
       1.0   40%   2000   2  0.808   875  +0.11279  +0.00498  +0.04969  +0.03527  -0.00000     0.621     1.316    0.800   37.6%   32.0%   19.5%  20/20
       1.0   40%   2000   4  0.622   699  +0.07462  +0.00326  +0.02373  +0.02387  -0.00000     0.771     1.281    0.918   23.2%   27.8%    8.6%  20/20
       1.0   40%   2000   8  0.416   477  +0.03243  +0.00023  +0.01427  +0.00948  -0.00002     0.920     1.241    1.006    7.5%   24.6%    2.3%  20/20
       1.0   40%   2000  20  0.215   252  +0.00493  -0.00009  +0.00371  +0.00133  -0.00002     0.971     1.099    0.990    2.6%   10.4%    1.4%  20/20
       1.0   40%   2000  40  0.119   143  +0.00308  -0.00051  +0.00083  +0.00063  -0.00024     0.998     1.068    1.005    2.1%    7.0%    2.2%  20/20
       1.0   40%  10000   2  0.807  4398  +0.11327  +0.00511        --  +0.03369        --     0.629        --    0.809   37.3%      --   19.2%  0/20
       1.0   40%  10000   4  0.616  3453  +0.07221  +0.00387        --  +0.02512        --     0.792        --    0.933   20.8%      --    6.4%  0/20
